Display,Topic,Type,PMI System,PMI Code,Parent code,Date of Last Update
December Snap Questions 3,Module Name,Module Name,http://terminology.pmi-ops.org/CodeSystem/ppi,SNAP_MUSICTECH_122018,,05/25/2019
I mainly use ___ to listen to music.,Music technology,Question,http://terminology.pmi-ops.org/CodeSystem/ppi,Snap_MusicTech,SNAP_MUSICTECH_122018,05/25/2019
my phone/mp3 player,Music technology,Answer,http://terminology.pmi-ops.org/CodeSystem/ppi,MusicTech_PhoneMP3,Snap_MusicTech,05/25/2019
radio,Music technology,Answer,http://terminology.pmi-ops.org/CodeSystem/ppi,MusicTech_Radio,Snap_MusicTech,05/25/2019
cassettes/CDs/vinyl/8-track,Music technology,Answer,http://terminology.pmi-ops.org/CodeSystem/ppi,MusicTech_CassetteVinyl8Track,Snap_MusicTech,05/25/2019
