Display,Topic,Type,PMI System,PMI Code,Parent code,Date of Last Update
July Snap Questions 3,Module Name,Module Name,http://terminology.pmi-ops.org/CodeSystem/ppi,JULY_SNAP3_20200622,,06/24/2020
I have achieved a goal that took years of work.,Grit/Determination,Question,http://terminology.pmi-ops.org/CodeSystem/ppi,Snap_GritDetermination,JULY_SNAP3_20200622,06/24/2020
Yes,Grit/Determination,Answer,http://terminology.pmi-ops.org/CodeSystem/ppi,GritDetermination_Yes,Snap_GritDetermination,06/24/2020
Unsure,Grit/Determination,Answer,http://terminology.pmi-ops.org/CodeSystem/ppi,GritDetermination_Unsure,Snap_GritDetermination,06/24/2020
No,Grit/Determination,Answer,http://terminology.pmi-ops.org/CodeSystem/ppi,GritDetermination_No,Snap_GritDetermination,06/24/2020
