Display,Topic,Type,PMI System,PMI Code,Parent code,Date of Last Update
November Snap Questions 2,Module Name,Module Name,http://terminology.pmi-ops.org/CodeSystem/ppi,SNAP_FLUSHOTWORKS_112019,,10/25/2019
I think the flu shot ____ works.,Flu,Question,http://terminology.pmi-ops.org/CodeSystem/ppi,Snap_FluShotWorks,SNAP_FLUSHOTWORKS_112019,10/25/2019
usually,Flu,Answer,http://terminology.pmi-ops.org/CodeSystem/ppi,FluShotWorks_Usually,Snap_FluShotWorks,10/25/2019
follow the news/sports,Flu,Answer,http://terminology.pmi-ops.org/CodeSystem/ppi,FluShotWorks_Sometimes,Snap_FluShotWorks,10/25/2019
sometimes,Flu,Answer,http://terminology.pmi-ops.org/CodeSystem/ppi,FluShotWorks_Never,Snap_FluShotWorks,10/25/2019
