Display,Topic,Type,PMI System,PMI Code,Parent code,Date of Last Update
October Snap Questions 1,Module Name,Module Name,http://terminology.pmi-ops.org/CodeSystem/ppi,SNAP_SOCIALPLATFORM_102019,,09/24/2019
How many social media platforms do you use?,Social media,Question,http://terminology.pmi-ops.org/CodeSystem/ppi,Snap_SocialPlatform,SNAP_SOCIALPLATFORM_102019,09/24/2019
So many I've lost count,Social media,Answer,http://terminology.pmi-ops.org/CodeSystem/ppi,SocialPlatform_SoMany,Snap_SocialPlatform,09/24/2019
Just 1 or 2,Social media,Answer,http://terminology.pmi-ops.org/CodeSystem/ppi,SocialPlatform_JustOne,Snap_SocialPlatform,09/24/2019
What's social media,Social media,Answer,http://terminology.pmi-ops.org/CodeSystem/ppi,SocialPlatform_WhatMedia,Snap_SocialPlatform,09/24/2019
