Display,Topic,Type,PMI System,PMI Code,Parent code,Date of Last Update
Dancing 2,Module Name,Module Name,http://terminology.pmi-ops.org/CodeSystem/ppi,SNAP_DANCINGSTYLE_092018,,05/25/2019
I dance __,Dancing style,Question,http://terminology.pmi-ops.org/CodeSystem/ppi,Snap_DancingStyle,SNAP_DANCINGSTYLE_092018,05/25/2019
like a professional,Dancing style,Answer,http://terminology.pmi-ops.org/CodeSystem/ppi,DancingStyle_Professional,Snap_DancingStyle,05/25/2019
my own way,Dancing style,Answer,http://terminology.pmi-ops.org/CodeSystem/ppi,DancingStyle_OwnWay,Snap_DancingStyle,05/25/2019
only in my dreams,Dancing style,Answer,http://terminology.pmi-ops.org/CodeSystem/ppi,DancingStyle_InDreams,Snap_DancingStyle,05/25/2019
