Display,Topic,Type,PMI System,PMI Code,Parent code,Date of Last Update
September Snap Without Cell,Module Name,Module Name,http://terminology.pmi-ops.org/CodeSystem/ppi,SNAP_WITHOUTCELL_092018,,05/25/2019
"When I don't have my cell phone, ___.",Without Cell,Question,http://terminology.pmi-ops.org/CodeSystem/ppi,Snap_WithoutCell,SNAP_WITHOUTCELL_092018,05/25/2019
I don't even notice,Without Cell,Answer,http://terminology.pmi-ops.org/CodeSystem/ppi,WithoutCell_DontNotice,Snap_WithoutCell,05/25/2019
I'm a little worried,Without Cell,Answer,http://terminology.pmi-ops.org/CodeSystem/ppi,WithoutCell_LittleWorried,Snap_WithoutCell,05/25/2019
a part of me is missing,Without Cell,Answer,http://terminology.pmi-ops.org/CodeSystem/ppi,WithoutCell_PartMissing,Snap_WithoutCell,05/25/2019
