Display,Topic,Type,PMI System,PMI Code,Parent code,Date of Last Update
August Snap Questions 2,Module Name,Module Name,http://terminology.pmi-ops.org/CodeSystem/ppi,SNAP_TEMPERATUREPREFERENCE_082019,,07/25/2019
"In general, I prefer to feel _____.",Body Temperature,Question,http://terminology.pmi-ops.org/CodeSystem/ppi,Snap_Preference,SNAP_TEMPERATUREPREFERENCE_082019,07/25/2019
warmer,Body Temperature,Answer,http://terminology.pmi-ops.org/CodeSystem/ppi,Preference_Warmer,Snap_Preference,07/25/2019
cooler,Body Temperature,Answer,http://terminology.pmi-ops.org/CodeSystem/ppi,Preference_Cooler,Snap_Preference,07/25/2019
it doesn't matter to me,Body Temperature,Answer,http://terminology.pmi-ops.org/CodeSystem/ppi,Preference_ItDoesntMatterToMe,Snap_Preference,07/25/2019
