Display,Topic,Type,PMI System,PMI Code,Parent code,Date of Last Update
Dancing 1,Module Name,Module Name,http://terminology.pmi-ops.org/CodeSystem/ppi,SNAP_DANCINGREASON_092018,,05/25/2019
I dance for __,Why dance,Question,http://terminology.pmi-ops.org/CodeSystem/ppi,Snap_DancingReason,SNAP_DANCINGREASON_092018,05/25/2019
exercise,Why dance,Answer,http://terminology.pmi-ops.org/CodeSystem/ppi,DancingReason_Exercise,Snap_DancingReason,05/25/2019
fun,Why dance,Answer,http://terminology.pmi-ops.org/CodeSystem/ppi,DancingReason_Fun,Snap_DancingReason,05/25/2019
I don't dance,Why dance,Answer,http://terminology.pmi-ops.org/CodeSystem/ppi,DancingReason_DontDance,Snap_DancingReason,05/25/2019
