Display,Topic,Type,PMI System,PMI Code,Parent code,Date of Last Update
"July Snap Questions 3
",Module Name,Module Name,http://terminology.pmi-ops.org/CodeSystem/ppi,SNAP_MUSICPLAYER_072019,,06/19/2019
I mainly use  ___ to listen to music.,Music,Question,http://terminology.pmi-ops.org/CodeSystem/ppi,Snap_Player,SNAP_MUSICPLAYER_072019,06/19/2019
my phone/mp3 player,Music,Answer,http://terminology.pmi-ops.org/CodeSystem/ppi,Player_PhoneMP3,Snap_Player,06/19/2019
radio,Music,Answer,http://terminology.pmi-ops.org/CodeSystem/ppi,Player_Radio,Snap_Player,06/19/2019
casettes/CDs/vinyl/8-track,Music,Answer,http://terminology.pmi-ops.org/CodeSystem/ppi,Player_Cassettes,Snap_Player,06/19/2019
