Display,Topic,Type,PMI System,PMI Code,Parent code,Date of Last Update
July Snap Questions 2,Module Name,Module Name,http://terminology.pmi-ops.org/CodeSystem/ppi,SNAP_MUSICFEEL_072019,,06/19/2019
I use music to feel ___.,Music,Question,http://terminology.pmi-ops.org/CodeSystem/ppi,Snap_Feel,SNAP_MUSICFEEL_072019,06/19/2019
happy,Music,Answer,http://terminology.pmi-ops.org/CodeSystem/ppi,Feel_Happy,Snap_Feel,06/19/2019
relaxed,Music,Answer,http://terminology.pmi-ops.org/CodeSystem/ppi,Feel_Relaxed,Snap_Feel,06/19/2019
energized,Music,Answer,http://terminology.pmi-ops.org/CodeSystem/ppi,Feel_Energized,Snap_Feel,06/19/2019
