Display,Topic,Type,PMI System,PMI Code,Parent code,Date of Last Update
December Snap Questions 1,Module Name,Module Name,http://terminology.pmi-ops.org/CodeSystem/ppi,SNAP_MOODMUSIC_122018,,11/26/2018
I enjoy music most when I'm ____.,Enjoy music,Question,http://terminology.pmi-ops.org/CodeSystem/ppi,Snap_EnjoyMusic,SNAP_MOODMUSIC_122018,11/26/2018
cooking,Enjoy music,Answer,http://terminology.pmi-ops.org/CodeSystem/ppi,EnjoyMusic_Cooking,Snap_EnjoyMusic,11/26/2018
exercising,Enjoy music,Answer,http://terminology.pmi-ops.org/CodeSystem/ppi,EnjoyMusic_Exercising,Snap_EnjoyMusic,11/26/2018
commuting,Enjoy music,Answer,http://terminology.pmi-ops.org/CodeSystem/ppi,EnjoyMusic_Commuting,Snap_EnjoyMusic,11/26/2018
