Display,Topic,Type,PMI System,PMI Code,Parent code,Date of Last Update
December Snap Questions 2,Module Name,Module Name,http://terminology.pmi-ops.org/CodeSystem/ppi,SNAP_USEMUSICFOR_122018,,05/25/2019
I use music to feel____,Music emotions,Question,http://terminology.pmi-ops.org/CodeSystem/ppi,Snap_UseMusic,SNAP_USEMUSICFOR_122018,05/25/2019
happy,Music emotions,Answer,http://terminology.pmi-ops.org/CodeSystem/ppi,UseMusic_Happy,Snap_UseMusic,05/25/2019
relaxed,Music emotions,Answer,http://terminology.pmi-ops.org/CodeSystem/ppi,UseMusic_Relaxed,Snap_UseMusic,05/25/2019
energized,Music emotions,Answer,http://terminology.pmi-ops.org/CodeSystem/ppi,UseMusic_Energized,Snap_UseMusic,05/25/2019
