Display,Topic,Type,PMI System,PMI Code,Parent code,Date of Last Update
July Snap Questions 1,Module Name,Module Name,http://terminology.pmi-ops.org/CodeSystem/ppi,SNAP_MUSICACTIVITY_072019,,06/19/2019
I enjoy music most when I'm _____.,Music,Question,http://terminology.pmi-ops.org/CodeSystem/ppi,Snap_Activity,SNAP_MUSICACTIVITY_072019,06/19/2019
cooking,Music,Answer,http://terminology.pmi-ops.org/CodeSystem/ppi,Activity_Cooking,Snap_Activity,06/19/2019
exercising,Music,Answer,http://terminology.pmi-ops.org/CodeSystem/ppi,Activity_Exercising,Snap_Activity,06/19/2019
commuting,Music,Answer,http://terminology.pmi-ops.org/CodeSystem/ppi,Activity_Commuting,Snap_Activity,06/19/2019
