Display,Topic,Type,PMI System,PMI Code,Parent code,Date of Last Update
Program Update on DNA,Module Name,Module Name,http://terminology.pmi-ops.org/CodeSystem/ppi,ProgramUpdate,,6/23/2020
Review Consent,Review Consent,Topic,http://terminology.pmi-ops.org/CodeSystem/ppi,ReviewConsent_ProgramUpdate,ProgramUpdate,6/23/2020
What We Will Do Video,Review Consent,Question,http://terminology.pmi-ops.org/CodeSystem/ppi,ReviewConsent_WhatWeWillDoVideo,ReviewConsent_ProgramUpdate,6/23/2020
Data Sharing Video,Review Consent,Question,http://terminology.pmi-ops.org/CodeSystem/ppi,ReviewConsent_DataSharingVideo,ReviewConsent_ProgramUpdate,6/23/2020
Potential Risks Video,Review Consent,Question,http://terminology.pmi-ops.org/CodeSystem/ppi,ReviewConsent_PotentialRisksVideo,ReviewConsent_ProgramUpdate,6/23/2020
Research Results Video,Review Consent,Question,http://terminology.pmi-ops.org/CodeSystem/ppi,ReviewConsent_ResearchResultsVideo,ReviewConsent_ProgramUpdate,6/23/2020
Seeing Your Data Video,Review Consent,Question,http://terminology.pmi-ops.org/CodeSystem/ppi,ReviewConsent_SeeingYourDataVideo,ReviewConsent_ProgramUpdate,6/23/2020
